
"9789351410560_0","25 May 2014","quite good book...","1","SHUBHAM KUMAR","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_1","06 Dec 2013","Very useful for main. good for advance also.","5","Snehasish Das","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_2","12 May 2014","USELESS","1","srikrishna vanam","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_3","06 Mar 2014","Partly Satisfied...","3","Sanketh Sampara","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_4","09 Jan 2014","ultimate success","5","","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_5","30 Mar 2015","Awesome Book>>>>>> Go For It.......","4","Kalpit Singh","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_6","26 Jan 2015","JEE MAIN PHYSICS 40 DAYS","4","","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_7","01 Jun 2014","Best book for revision of JEE MAIN","5","Rishabh Kumar","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_8","17 May 2014","Not too many Questions","4","Siddharth Verma","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_9","03 May 2014","Awesome","5","Karthik Balaje","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_0","25 May 2014","quite good book...","1","SHUBHAM KUMAR","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_1","06 Dec 2013","Very useful for main. good for advance also.","5","Snehasish Das","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_2","12 May 2014","USELESS","1","srikrishna vanam","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_3","06 Mar 2014","Partly Satisfied...","3","Sanketh Sampara","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_4","09 Jan 2014","ultimate success","5","","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_5","30 Mar 2015","Awesome Book>>>>>> Go For It.......","4","Kalpit Singh","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_6","26 Jan 2015","JEE MAIN PHYSICS 40 DAYS","4","","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_7","01 Jun 2014","Best book for revision of JEE MAIN","5","Rishabh Kumar","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_8","17 May 2014","Not too many Questions","4","Siddharth Verma","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
"9789351410560_9","03 May 2014","Awesome","5","Karthik Balaje","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=d6aca026-9777-462f-893c-e96c5ff24f0d",
